author,bloc,PC1,PC2
Adrien Quatennens,Gauche radicale,0.22800388863446955,0.10826089925673661
Agnès Firmin Le Bodo,Centre / Majorite,-0.1630223775872886,-0.17947218402701057
Alexandre Portier,Droite,-0.13382474645183592,-0.06223536650529207
Alexandre Sabatou,Droite,-0.22009249255445462,-0.1561666213339691
Alexis Jolly,Droite,0.0041466509083900515,-0.10342364088783634
Alma Dufour,Gauche radicale,0.324307854153454,0.031075710795144304
Amélia Lakrafi,Centre / Majorite,0.28140024987594725,-0.03130143341666253
Anne Sicard,Droite,-0.019217577873728204,-0.18295262375600943
Anne-Cécile Violland,Centre / Majorite,-0.1998054234397516,-0.3149783800172032
Antoine Léaument,Gauche radicale,0.21935547934628163,0.11140649906781853
Antoine Villedieu,Droite,0.05506662780979192,-0.07416391294514108
Arthur Delaporte,Gauche moderee,0.20280101998310804,-0.10637079160019343
Aurore Bergé,Centre / Majorite,0.11354101053648316,0.05339485842285614
Aurélien Lopez-Liguori,Droite,-0.4024981908288328,-0.062219705684924666
Aurélien Saintoul,Gauche radicale,0.2977528454040069,0.028459417617620605
Aurélien Taché,Gauche radicale,0.29596134352199926,0.03701671447878576
Ayda Hadizadeh,Gauche moderee,0.1191091684768684,0.003121366466308701
Aymeric Caron,Gauche radicale,0.2708575629335717,0.14747788745537171
Bastien Lachaud,Gauche radicale,0.33191275302910406,-0.0026311839250999242
Belkhir Belhaddad,Centre / Majorite,-0.04140223301281516,-0.19099308403305626
Benjamin Haddad,Centre / Majorite,0.19696544887914397,-0.16131705846004823
Boris Vallaud,Gauche moderee,0.237913005247491,-0.10788112077730481
Brigitte Klinkert,Centre / Majorite,0.10501501157161543,-0.2735169877327395
Brigitte Liso,Centre / Majorite,-0.3888030179512021,-0.1856199333084032
Bruno Bilde,Droite,0.18592478653557026,-0.05413536620014686
Bruno Fuchs,Centre / Majorite,0.14340473481712773,-0.2099635253993677
Bruno Millienne,Centre / Majorite,0.04790839349727281,0.04753785762963243
Bryan Masson,Droite,-0.08197758294141623,-0.12191697561370947
Carlos Martens Bilongo,Gauche radicale,0.2994159508876112,0.017174529309072102
Caroline Abadie,Centre / Majorite,-0.16447827463412204,-0.016545996179795838
Caroline Colombier,Droite,-0.120379220766212,-0.04898445364235983
Caroline Parmentier,Droite,-0.07164876643360059,-0.13273266865816516
Caroline Yadan,Centre / Majorite,0.2987104741715476,-0.03076707975607012
Catherine Couturier,Gauche radicale,0.09670920547421513,-0.06617384504399183
Charles Sitzenstuhl,Centre / Majorite,-0.03706471103360461,-0.04526407145022445
Christophe Marion,Centre / Majorite,-0.17737321405750872,-0.3182919644219229
Claire Lejeune,Gauche radicale,0.30054177549361394,-0.03658092012912918
Clémence Guetté,Gauche radicale,0.2585952604134794,-0.014573650310971067
Clémentine Autain,Gauche radicale,0.33428466308729116,-0.07038889255017311
Constance Le Grip,Centre / Majorite,0.2164066354717746,-0.16260330629114375
Cyrielle Chatelain,Gauche moderee,0.2155926367008314,-0.12617982763915309
Cécile Rilhac,Centre / Majorite,-0.02538770090621946,-0.2594876046529712
Céline Calvez,Centre / Majorite,0.12360785914032565,-0.22313060658592582
Céline Hervieu,Gauche moderee,-0.36375882463513,-0.06607021142681664
Damien Maudet,Gauche radicale,0.18599831708656425,-0.05771932909495588
Daniel Labaronne,Centre / Majorite,-0.03538930511370906,-0.2926003816685834
Danielle Simonnet,Gauche moderee,0.2390639896374469,-0.10499403813289052
Danièle Obono,Gauche radicale,0.2778786243210513,0.024306129387822714
David Guiraud,Gauche radicale,0.3057642952409563,0.0540071978151743
Didier Martin,Centre / Majorite,-0.12623124747642298,-0.37656943232068846
Dominique Potier,Gauche moderee,0.1063508630845648,-0.1805388817447867
Edwige Diaz,Droite,0.08426062136655535,-0.10054217029118702
Elsa Faucillon,Gauche radicale,0.31905658050399915,-0.05770123475239807
Emmanuel Fernandes,Gauche radicale,0.22806281579794788,-0.07412141445943972
Emmanuelle Ménard,Droite,-0.012882358475143,-0.30507598690952537
Ersilia Soudais,Gauche radicale,0.26351206856123655,0.03346343540827706
Erwan Balanant,Centre / Majorite,-0.14883247905908223,-0.12890728372220833
Eva Sas,Gauche moderee,0.18986290289795266,-0.10702921770180052
Fabien Roussel,Gauche radicale,0.268081124588537,-0.13439243521363942
Florian Chauche,Gauche radicale,0.23232177066758175,-0.070377992474127
Franck Riester,Centre / Majorite,-0.05057367483596657,-0.11204385710037683
Frank Giletti,Droite,-0.2748708053524738,-0.05033689030533314
François Cormier-Bouligeon,Centre / Majorite,0.15891474041517642,-0.12640162923593717
François Piquemal,Gauche radicale,0.24754935052144228,-0.005148935425350409
François Ruffin,Gauche moderee,0.2802048515028623,-0.03211831388051941
Frédéric Maillot,Gauche radicale,-0.4273643537157634,-0.06975850327277414
Frédéric Valletoux,Centre / Majorite,-0.08876147308048575,-0.2710828160548428
Gabriel Amard,Gauche radicale,0.28408444354053675,-0.07094665957293837
Gabriel Attal,Centre / Majorite,0.11410282181034094,-0.2512242577299763
Gabrielle Cathala,Gauche radicale,0.30169349206841883,-0.05738565499250925
Gisèle Lelouis,Droite,-0.03551537302920353,-0.2490585245827039
Grégoire de Fournas,Droite,-0.5308793486130922,0.0134238218397046
Guillaume Bigot,Droite,0.19241797414422543,-0.00306435080086365
Guillaume Kasbarian,Centre / Majorite,-0.3979339834606357,-0.2963589453512647
Gérald Darmanin,Centre / Majorite,0.13847730534569694,-0.10841125286325673
Hadrien Clouet,Gauche radicale,0.26968432551898885,-0.01766637278362116
Hanane Mansouri,Droite,-0.24498553684153668,-0.08863431653916871
Hendrik Davi,Gauche moderee,0.25570625701706595,-0.08419178432705053
Hervé de Lépinau,Droite,0.12974864588681556,-0.0655070828506412
Hélène Laporte,Droite,0.03382055757315138,-0.0833354092579728
Ian Boucard,Droite,0.048926495958336425,-0.21512290966297584
Isabelle Santiago,Gauche moderee,-0.08693963231513713,-0.24989446697275036
Jean-Charles Larsonneur,Droite,0.11885292707125421,-0.08566767285177482
Jean-Claude Raux,Gauche moderee,0.2518330783478408,-0.03922135544742595
Jean-François Coulomme,Gauche radicale,-0.13300117201335804,-0.028925273127023567
Jean-Louis Thiériot,Droite,-0.13223996193386986,-0.12402324471177335
Jean-Paul Mattei,Centre / Majorite,-0.3398428865784701,-0.3552132334265663
Jean-Philippe Tanguy,Droite,-0.1616011764215697,-0.02840314030853975
Jean-René Cazeneuve,Centre / Majorite,-0.04138219882006261,-0.2874062599803222
Julie Delpech,Centre / Majorite,-0.11648073333865576,-0.23076723883774794
Julie Laernoes,Gauche moderee,0.12359061922798495,-0.04635545619582718
Julien Odoul,Droite,0.17913287498383265,-0.10852263241231967
Jérôme Buisson,Droite,0.2255994038497794,-0.03818304632343797
Jérôme Guedj,Gauche moderee,0.20360605113240834,-0.05647908576292135
Jérôme Legavre,Gauche radicale,0.31079407772880857,0.028551171007480853
Karine Lebon,Gauche radicale,0.04674899614821471,-0.031101115531462213
Kévin Mauvieux,Droite,-0.03904539273262641,-0.08259162343057679
Laetitia Saint-Paul,Centre / Majorite,-0.6249732220437559,-0.04878624108151222
Laure Miller,Centre / Majorite,-0.10075313129086838,-0.17828688569071358
Laurence Maillart-Méhaignerie,Centre / Majorite,-0.4477840800134683,-0.29462223962294987
Laurent Alexandre,Gauche radicale,0.07830033774615597,-0.10882191809463496
Laurent Croizier,Centre / Majorite,0.07960880946959194,-0.23957075480053167
Laurent Jacobelli,Droite,0.12193588313808595,-0.10794386662756049
Lise Magnier,Centre / Majorite,-0.4341767300700024,-0.0842529317776354
Louis Boyard,Gauche radicale,0.3041922375335216,0.03291579761405913
Loïc Kervran,Centre / Majorite,-0.07448666896905275,-0.3320096293359121
Ludovic Mendes,Centre / Majorite,-0.10770648029940348,-0.032277685787685154
M. Abdelkader Lahmar,Gauche radicale,-0.44509346510247494,0.10568557257174559
M. Adrien Quatennens,Gauche radicale,-0.2976967678693646,-0.0024797561903346184
M. Alexandre Portier,Droite,0.056036515397562076,0.24530549645087418
M. Alexandre Portier (DR),Droite,-0.19016208073681098,0.1424560581795347
M. Alexandre Sabatou,Droite,0.09135679066387468,0.043133648881735084
M. André Chassaigne,Gauche radicale,0.2720987468198879,0.047757779336556214
M. Andy Kerbrat,Gauche radicale,-0.05715809931693143,0.1683327352577651
M. Antoine Léaument,Gauche radicale,0.05874161870140215,0.32536110672197116
M. Antoine Vermorel-Marques,Droite,-0.006241359617320425,0.03496416022492488
M. Antoine Villedieu,Droite,-0.05998824313735282,0.016070784689608267
M. Arnaud Le Gall,Gauche radicale,0.21716568736393008,0.14792405937874176
M. Arthur Delaporte,Gauche moderee,-0.41475444819612817,0.060674921744570766
M. Aurélien Saintoul,Gauche radicale,0.205623644883,0.13264383815012692
M. Aurélien Saintoul (LFI-NFP),Gauche radicale,0.17497024436679304,0.05928653142838014
M. Aurélien Taché,Gauche moderee,0.21403132916558923,0.12121732965655842
M. Aurélien Taché (Écolo-NUPES),Gauche moderee,0.18440811173758137,0.05993726920777951
M. Aymeric Caron,Gauche radicale,0.14410746959879941,0.14248851242661076
M. Bastien Lachaud,Gauche radicale,0.21656520258230258,0.055073560171709786
M. Belkhir Belhaddad (RE),Centre / Majorite,0.05636657811125852,-0.04529519822036895
M. Benjamin Haddad,Centre / Majorite,0.21932382142060053,-0.09108444710289282
M. Benjamin Lucas,Centre / Majorite,-0.18008873568706404,0.1197458752696403
M. Benjamin Lucas-Lundy,Gauche moderee,0.13441131944445991,0.12100775917249448
M. Bernard Chaix,Droite,-0.005898321687418949,0.025017638723517525
M. Boris Vallaud,Gauche moderee,0.24912092442286185,-0.014147360970732431
M. Boris Vallaud (SOC),Gauche moderee,0.026644530551468756,-0.04754019371676627
M. Bruno Fuchs,Centre / Majorite,0.08818301150774,0.0386746732261235
M. Bruno Fuchs (Dem),Centre / Majorite,0.09982652813390562,0.02081715032748099
M. Bruno Retailleau,Droite,0.13221365276626856,0.08400346388078742
M. Carlos Martens Bilongo,Gauche radicale,0.05000078031041351,-0.027589668689919394
M. Charles Rodwell,Centre / Majorite,-0.319601794471549,0.03292867858861109
M. Charles Sitzenstuhl,Centre / Majorite,0.12308879188511873,0.05451710217812892
M. Charles Sitzenstuhl (EPR),Centre / Majorite,0.11576931184471821,0.01077879881187682
M. David Guiraud,Gauche radicale,0.14814359385229275,0.2329060089571899
M. Davy Rimane,Gauche radicale,0.010232520005290657,0.16867257263901755
M. Didier Martin,Centre / Majorite,-0.04843112547183675,0.15482787378275653
M. Dominique Potier,Gauche moderee,0.09697812532337119,-0.10786978290543633
M. Emeric Salmon,Droite,-0.3044927094408856,0.23405650599087094
M. Emmanuel Duplessy,Gauche moderee,-0.558364332475651,0.037741181196005495
M. Emmanuel Fernandes,Gauche radicale,0.036230797431467406,0.13152480372891195
M. Emmanuel Taché de la Pagerie,Droite,-0.4212274307104629,-0.004461396816822867
M. Erwan Balanant,Centre / Majorite,-0.20282809343960093,0.14085826247951946
M. Fabien Di Filippo,Droite,-0.4019660433239894,-0.12135020014200706
M. Fabien Roussel,Gauche radicale,0.22934983647124768,0.00595487412611641
M. Fabien Roussel (GDR-NUPES),Gauche radicale,0.11971044928884017,0.009332291896152912
M. Florian Chauche,Gauche radicale,0.0640874010138129,0.017734478963333435
M. Franck Riester,Centre / Majorite,-0.07132790602548926,0.058867698967364476
M. Frank Giletti,Droite,-0.01396686355699404,0.05886690832957011
M. François Bayrou,Centre / Majorite,0.2762354972927291,0.042101265377252436
M. François Cormier-Bouligeon,Centre / Majorite,0.1048100344744495,0.05254344194066723
M. François Cormier-Bouligeon (RE),Centre / Majorite,0.11710138941049475,0.002235844829877353
M. François Jolivet,Centre / Majorite,-0.45522026514798897,-0.05343582944760176
M. François Piquemal,Gauche radicale,0.07421138070490091,0.12176097677590217
M. François Ruffin,Gauche radicale,-0.06995430625482678,0.04456868421394205
M. Frédéric Falcon,Droite,-0.40650967965118284,0.3106422190376678
M. Frédéric Maillot,Gauche radicale,-0.2076552351278528,0.08531173025309231
M. Frédéric Mathieu,Gauche radicale,-0.05890781668818547,0.10312662502989613
M. Frédéric Petit,Centre / Majorite,0.2269796188188876,0.08066386479761233
M. Frédéric Petit (Dem),Centre / Majorite,0.055814821387967464,0.09760787605566551
M. Gabriel Amard,Gauche radicale,-0.3677222464746309,0.24384516152014163
M. Gabriel Attal,Centre / Majorite,0.22669714701056817,-0.03768162359642932
M. Grégoire de Fournas,Droite,-0.28501371463751174,0.16817571584517765
M. Guillaume Kasbarian,Centre / Majorite,-0.3772785902016253,-0.013520024851770064
M. Gérald Darmanin,Centre / Majorite,0.11639139003489998,0.11019560724124647
M. Hadrien Clouet,Gauche radicale,-0.16816671699566837,0.04827628891722265
M. Hendrik Davi,Gauche moderee,-0.005267096998900172,0.097373463408232
M. Hendrik Davi (EcoS),Gauche moderee,-0.15657422043152597,0.09315131205162844
M. Henri Alfandari,Centre / Majorite,-0.03017405387321014,0.05676224004819367
M. Hervé de Lépinau,Droite,-0.317311941982829,0.2264947358770552
M. Ian Boucard,Droite,-0.44670966581723986,0.1235421875550606
M. Jean-Charles Larsonneur,Droite,0.074675912012486,-0.06040382451085924
M. Jean-Claude Raux,Gauche moderee,0.041253057606249845,0.10255911710203627
M. Jean-Claude Raux (EcoS),Gauche moderee,0.09989363077232721,0.013016706548732836
M. Jean-François Coulomme,Gauche radicale,0.16226715691102622,0.06644044994250381
M. Jean-Louis Bourlanges,Centre / Majorite,0.2792863060262544,0.03584626287771364
M. Jean-Louis Bourlanges (Dem),Centre / Majorite,0.011590848879827094,-0.05033687983265507
M. Jean-Louis Thiériot,Droite,-0.14755734665842546,-0.055958540665730604
M. Jean-Marc Tellier,Gauche radicale,0.17501373142779955,0.09777750923975422
M. Jean-Noël Barrot,Centre / Majorite,0.32774751117617035,0.02675558692929882
M. Jean-Paul Lecoq,Gauche radicale,0.3172430236477275,0.06741900421997138
M. Jean-Paul Lecoq (GDR),Gauche radicale,0.23405828982375337,0.15671299585430798
M. Jean-Paul Mattei,Centre / Majorite,0.07367209130690497,0.018535608129414894
M. Jean-Philippe Nilor,Gauche radicale,-0.4070964193361402,0.12721096224456888
M. Jean-Philippe Tanguy,Droite,-0.006737857992573755,0.10920940336337019
M. Jean-Pierre Taite,Droite,-0.08341485555333299,0.02969919118997522
M. Jean-Victor Castor (GDR-NUPES),Gauche radicale,-0.20709786678338205,0.16693797448896736
M. Julien Odoul,Droite,0.18014929612067024,0.09115365911109982
M. Jérémie Patrier-Leitus,Centre / Majorite,0.18251101119333715,0.1498178794237347
M. Jérôme Guedj,Gauche moderee,0.22104272951439913,0.1635748496491814
M. Jérôme Legavre,Gauche radicale,0.12329809975363537,0.15863255611860358
M. Karim Ben Cheikh,Gauche moderee,-0.0710236899080707,0.061862211300132725
M. Laurent Croizier,Centre / Majorite,-0.5109343411990497,-0.125259231133888
M. Laurent Jacobelli,Droite,0.0345978984326367,0.15962641350604764
M. Laurent Marcangeli,Centre / Majorite,0.23910213243944015,-0.017744166783404146
M. Laurent Marcangeli (HOR),Centre / Majorite,-0.17278961194453377,0.042991222553378255
M. Laurent Saint-Martin,Gauche radicale,0.14454233825129142,0.1802343356387313
M. Laurent Wauquiez,Droite,-0.12966071424695208,0.057679884021632
M. Louis Boyard,Gauche radicale,0.07106550436129777,0.35892372074395246
M. Louis Boyard (LFI-NFP),Gauche radicale,-0.19552041550972876,-0.034805458494720685
M. Léo Walter,Gauche radicale,-0.5492165726567144,0.056156645758229026
M. Manuel Bompard,Gauche radicale,0.023244521944509083,0.1629310834003191
M. Marc Fesneau,Centre / Majorite,-0.029247041809119703,-0.049998653059908936
M. Marc de Fleurian,Droite,-0.5408486500001405,0.4133077943239257
M. Marcellin Nadeau,Gauche radicale,0.047868984713829124,0.014872726243834726
M. Mathieu Lefèvre,Centre / Majorite,0.19905343279126975,0.063092433538874
M. Mathieu Lefèvre (RE),Centre / Majorite,-0.18596227629046855,0.05754571352555555
M. Matthias Renault,Droite,-0.3065000040383921,0.05512935196358068
M. Matthias Tavel,Gauche radicale,-0.029116422808124605,0.15317808534837452
M. Maxime Laisney,Gauche radicale,-0.5439787099314725,0.024909297545112577
M. Meyer Habib,Droite,0.2140970023863417,0.07271737730784772
M. Michel Barnier,Droite,0.1903224612641474,0.03903843203304433
M. Michel Herbillon,Droite,0.07684843585264975,-0.14599938607023177
M. Nicolas Daragon,Droite,0.008796433670382605,0.016374312487652275
M. Nicolas Forissier,Droite,0.054050834852985986,-0.012996973764821668
M. Nicolas Metzdorf,Centre / Majorite,-0.35517925058727867,0.05749869754448054
M. Nicolas Sansu,Gauche radicale,0.2126891435293306,0.07897361936421306
M. Nicolas Turquois,Centre / Majorite,0.1307830754886356,-0.014260403782943186
M. Olivier Becht,Centre / Majorite,0.13775030917342476,0.019343640738905557
M. Olivier Falorni,Centre / Majorite,-0.22370853666257706,0.1126225715528895
M. Olivier Faure,Gauche moderee,0.09603425620496697,0.0015663171102199616
M. Olivier Fayssat,Droite,0.14922474050561274,0.11587517446658023
M. Patrick Hetzel,Droite,-0.04094291214003475,-0.04926368810470168
M. Paul Vannier,Gauche radicale,-0.44089446092825624,-0.10112858984943494
