month,bloc,stance_mean,stance_std,n,month_ts,se,ci95_lo,ci95_hi
2023-10,Centre / Majorite,-0.8980392156862745,0.8903441332549062,255,2023-10-01,0.05575551236693756,-1.0073200199254722,-0.7887584114470769
2023-10,Droite,-1.4466666666666668,0.6546634016452539,300,2023-10-01,0.03779700911684834,-1.5207488045356896,-1.372584528797644
2023-10,Gauche moderee,0.6470588235294118,0.9965109410977654,153,2023-10-01,0.08056313465156364,0.48915507961234705,0.8049625674464765
2023-10,Gauche radicale,1.2651162790697674,1.0012919575649597,645,2023-10-01,0.039425832327349704,1.187841647708162,1.342390910431373
2023-11,Centre / Majorite,-0.8130841121495327,0.7539936579671138,107,2023-11-01,0.07289131816658245,-0.9559510957560343,-0.6702171285430311
2023-11,Droite,-1.1869158878504673,0.7664035234671948,107,2023-11-01,0.07409102514689016,-1.332134297138372,-1.0416974785625626
2023-11,Gauche moderee,0.6545454545454545,0.966440238197238,55,2023-11-01,0.13031477513430414,0.39912849528221844,0.9099624138086906
2023-11,Gauche radicale,1.3734939759036144,0.8650423858220688,332,2023-11-01,0.0474753686697378,1.2804422533109283,1.4665456984963006
2023-12,Centre / Majorite,-0.2,0.9189365834726815,10,2023-12-01,0.29059326290271154,-0.7695627952893147,0.3695627952893146
2023-12,Droite,-1.125,0.6191391873668903,16,2023-12-01,0.15478479684172258,-1.4283782018097764,-0.8216217981902237
2023-12,Gauche moderee,0.875,1.02469507659596,16,2023-12-01,0.25617376914899,0.37289941246797964,1.3771005875320204
2023-12,Gauche radicale,1.4904458598726114,0.9648823124390611,157,2023-12-01,0.0770059918612405,1.33951411582458,1.6413776039206427
2024-01,Centre / Majorite,-0.8125,0.888640838405787,64,2024-01-01,0.11108010480072338,-1.0302170054094177,-0.5947829945905821
2024-01,Droite,-1.375,0.6599120175960898,32,2024-01-01,0.11665706565717282,-1.6036478486880588,-1.1463521513119412
2024-01,Gauche moderee,1.2666666666666666,0.6914918072835208,30,2024-01-01,0.12624855372639981,1.019219501362923,1.5141138319704102
2024-01,Gauche radicale,1.7300884955752212,0.668448945046461,226,2024-01-01,0.04446456241015112,1.6429379532513249,1.8172390378991174
2024-02,Centre / Majorite,-0.8615384615384616,1.0289090563085963,65,2024-02-01,0.12762046171566968,-1.1116745665011742,-0.611402356575749
2024-02,Droite,-1.375,0.6599120175960898,32,2024-02-01,0.11665706565717282,-1.6036478486880588,-1.1463521513119412
2024-02,Gauche moderee,1.1818181818181819,0.8408749651825218,55,2024-02-01,0.11338355717496794,0.9595864097552447,1.404049953881119
2024-02,Gauche radicale,1.5644444444444445,0.7174967507254562,225,2024-02-01,0.04783311671503041,1.4706915356829848,1.6581973532059042
2024-03,Centre / Majorite,-0.7872340425531915,1.0821912193959302,47,2024-03-01,0.1578538130162835,-1.096627516065107,-0.47784056904127586
2024-03,Droite,-1.6164383561643836,0.5683831108773323,73,2024-03-01,0.06652421134398845,-1.746825810398601,-1.4860509019301662
2024-03,Gauche moderee,1.3863636363636365,0.5376914084676802,44,2024-03-01,0.08106002976750087,1.2274859780193348,1.5452412947079381
2024-03,Gauche radicale,1.4938271604938271,0.9107728548565536,243,2024-03-01,0.05842610588022613,1.379311992968584,1.6083423280190703
2024-04,Centre / Majorite,-0.8823529411764706,0.8401680504168058,51,2024-04-01,0.11764705882352938,-1.112941176470588,-0.651764705882353
2024-04,Droite,-1.2941176470588236,0.807319457143424,51,2024-04-01,0.11304733572862409,-1.5156904250869268,-1.0725448690307204
2024-04,Gauche moderee,0.7441860465116279,1.0256942655915215,43,2024-04-01,0.15641690910105793,0.43760890467355434,1.0507631883497015
2024-04,Gauche radicale,1.5759312320916905,0.8428840445154747,349,2024-04-01,0.045118548479554446,1.4874988770717639,1.6643635871116171
2024-05,Centre / Majorite,-0.6153846153846154,0.9482502261594778,104,2024-05-01,0.09298358474915287,-0.797632441492955,-0.4331367892762758
2024-05,Droite,-1.5238095238095237,0.6922879984594994,63,2024-05-01,0.0872200895027858,-1.6947608992349839,-1.3528581483840636
2024-05,Gauche moderee,1.2173913043478262,0.8231017049106697,92,2024-05-01,0.08581428485441378,1.0491953060331751,1.3855873026624772
2024-05,Gauche radicale,1.7269736842105263,0.708477300252841,608,2024-05-01,0.028732548621475455,1.6706578889124344,1.7832894795086183
2024-06,Centre / Majorite,-0.7115384615384616,0.6667609284793211,52,2024-06-01,0.09246310446569884,-0.8927661462912313,-0.5303107767856918
2024-06,Droite,-1.56,0.506622805119022,25,2024-06-01,0.10132456102380441,-1.7585961396066567,-1.3614038603933434
2024-06,Gauche moderee,0.875,1.2618998788920721,24,2024-06-01,0.2575842341471221,0.3701349010716407,1.3798650989283594
2024-06,Gauche radicale,1.4603174603174602,0.8546418538854147,126,2024-06-01,0.07613754775325089,1.3110878667210886,1.609547053913832
2024-07,Centre / Majorite,-0.7407407407407407,1.0951850069418407,27,2024-07-01,0.2107684528567713,-1.1538469083400125,-0.327634573141469
2024-07,Droite,-1.65,0.4830458915396479,40,2024-07-01,0.07637626158259732,-1.7996974727018906,-1.5003025272981092
2024-07,Gauche moderee,1.0,0.784464540552736,14,2024-07-01,0.2096569673443836,0.5890723440050081,1.410927655994992
2024-07,Gauche radicale,1.6748466257668713,0.8598265370771019,163,2024-07-01,0.0673468120342598,1.542846874179722,1.8068463773540204
2024-08,Centre / Majorite,-1.3142857142857143,0.6761234037828133,35,2024-08-01,0.1142857142857143,-1.5382857142857143,-1.0902857142857143
2024-08,Droite,-1.411764705882353,0.5569204860727307,34,2024-08-01,0.0955110753983516,-1.598966413663122,-1.224562998101584
2024-08,Gauche moderee,0.4375,1.2093386622447826,16,2024-08-01,0.30233466556119565,-0.15507594449994344,1.0300759444999434
2024-08,Gauche radicale,1.6161616161616161,0.9225858812639425,99,2024-08-01,0.09272336984945076,1.4344238112566927,1.7978994210665395
2024-09,Centre / Majorite,-1.2,0.560611910581388,15,2024-09-01,0.14474937289114917,-1.4837087708666523,-0.9162912291333476
2024-09,Droite,-1.263157894736842,0.9334586382051249,19,2024-09-01,0.2141500985216439,-1.6828920878392641,-0.8434237016344199
2024-09,Gauche moderee,1.0952380952380953,0.7684244858645451,21,2024-09-01,0.1676839701110382,0.7665775138204605,1.4238986766557302
2024-09,Gauche radicale,1.5422222222222222,0.9770785739553087,225,2024-09-01,0.06513857159702058,1.4145506218920618,1.6698938225523825
2024-10,Centre / Majorite,-0.8714285714285714,0.9312828703885242,70,2024-10-01,0.11130959300714181,-1.0895953737225694,-0.6532617691345735
2024-10,Droite,-1.065217391304348,0.9923260256753728,92,2024-10-01,0.10345713989864305,-1.2679933855056882,-0.8624413971030075
2024-10,Gauche moderee,1.1304347826086956,0.8688732424597104,23,2024-10-01,0.1811725950413572,0.7753364963276355,1.4855330688897557
2024-10,Gauche radicale,1.708,0.6990642052431298,250,2024-10-01,0.04421270238527425,1.6213431033248624,1.7946568966751375
2024-11,Centre / Majorite,-0.9333333333333333,0.784915252764901,30,2024-11-01,0.1433052632230685,-1.2142116492505477,-0.6524550174161191
2024-11,Droite,-1.2093023255813953,0.9143860686895391,43,2024-11-01,0.13944256820720557,-1.4826097592675183,-0.9359948918952723
2024-11,Gauche moderee,1.131578947368421,0.4140147948511246,38,2024-11-01,0.06716206838991054,0.9999412933241963,1.2632166014126456
2024-11,Gauche radicale,1.5980861244019138,0.8384946288122105,209,2024-11-01,0.05799988626234214,1.4844063473277231,1.7117659014761044
2024-12,Centre / Majorite,-0.8333333333333334,0.408248290463863,6,2024-12-01,0.16666666666666669,-1.1600000000000001,-0.5066666666666666
2024-12,Droite,-0.6,1.1212238211627763,15,2024-12-01,0.2894987457822984,-1.1674175417333048,-0.03258245826669515
2024-12,Gauche moderee,1.1,0.7378647873726218,10,2024-12-01,0.2333333333333333,0.6426666666666668,1.5573333333333332
2024-12,Gauche radicale,1.796116504854369,0.5834183125939887,103,2024-12-01,0.05748591448160648,1.6834441124704203,1.9087888972383178
2025-01,Centre / Majorite,-0.3902439024390244,0.833008066602233,41,2025-01-01,0.13009400344482525,-0.6452281491908819,-0.1352596556871669
2025-01,Droite,-0.9032258064516129,1.106189818240294,31,2025-01-01,0.19867755640399126,-1.2926338170034357,-0.51381779589979
2025-01,Gauche moderee,0.8620689655172413,0.8334154310955476,29,2025-01-01,0.1547613603192612,0.5587366992914894,1.1654012317429934
2025-01,Gauche radicale,1.5045871559633028,0.8811790719740012,218,2025-01-01,0.05968097744071927,1.3876124401794931,1.6215618717471125
2025-02,Centre / Majorite,-1.0227272727272727,0.976196614861375,44,2025-02-01,0.14716717695955722,-1.3111749395680048,-0.7342796058865406
2025-02,Droite,-1.6,0.49543369430686224,45,2025-02-01,0.07385489458759963,-1.7447555933916954,-1.4552444066083048
2025-02,Gauche moderee,0.5833333333333334,1.1645001528813148,12,2025-02-01,0.33616223836869374,-0.07554465386930631,1.242211320535973
2025-02,Gauche radicale,1.4054054054054055,1.0969311977390017,74,2025-02-01,0.12751566160158848,1.155474708666292,1.655336102144519
2025-03,Centre / Majorite,-0.723404255319149,0.9713757088828119,47,2025-03-01,0.14168970951745266,-1.001116085973356,-0.44569242466494174
2025-03,Droite,-1.3902439024390243,0.8024353176576853,41,2025-03-01,0.12531934223087932,-1.6358698132115477,-1.144617991666501
2025-03,Gauche moderee,1.0555555555555556,0.7253576985527024,18,2025-03-01,0.17096844914416115,0.7204573952329998,1.3906537158781114
2025-03,Gauche radicale,1.403973509933775,1.0657004453849113,151,2025-03-01,0.08672547229615252,1.233991584233316,1.5739554356342338
2025-04,Centre / Majorite,-0.5384615384615384,0.9046886417224096,26,2025-04-01,0.17742403991801226,-0.8862126567008424,-0.19071042022223444
2025-04,Droite,-1.5416666666666667,0.5089773777040516,24,2025-04-01,0.10389457216622949,-1.7453000281124766,-1.3380333052208568
2025-04,Gauche moderee,0.8571428571428571,1.167320591199077,14,2025-04-01,0.31197955091381074,0.245662937351788,1.4686227769339262
2025-04,Gauche radicale,1.6652173913043478,0.7963391652253251,230,2025-04-01,0.05250904957498807,1.562299654137371,1.7681351284713245
2025-05,Centre / Majorite,-0.47540983606557374,1.2143298308467394,122,2025-05-01,0.10994025717739488,-0.6908927401332677,-0.25992693199787975
2025-05,Droite,-1.5,0.6248287436603006,74,2025-05-01,0.0726348660697771,-1.6423643374967631,-1.3576356625032369
2025-05,Gauche moderee,0.88,1.154229135812809,50,2025-05-01,0.16323264979526514,0.5600640064012803,1.1999359935987197
2025-05,Gauche radicale,1.5695792880258899,0.9462057608719596,309,2025-05-01,0.053827765056354365,1.4640768685154353,1.6750817075363444
2025-06,Centre / Majorite,-0.5603448275862069,0.9164088047652502,116,2025-06-01,0.08508642145465552,-0.7271142136373316,-0.39357544153508206
2025-06,Droite,-1.386138613861386,0.6159593660251133,101,2025-06-01,0.0612902476853155,-1.5062674993246044,-1.2660097283981677
2025-06,Gauche moderee,0.8947368421052632,0.9762210399274298,57,2025-06-01,0.12930363550315668,0.6413017165190761,1.1481719676914501
2025-06,Gauche radicale,1.635036496350365,0.7708198575406107,548,2025-06-01,0.032927792400498174,1.5704980232453885,1.6995749694553415
2025-07,Centre / Majorite,-0.6774193548387096,1.1071614388213236,31,2025-07-01,0.1988520646119025,-1.0671694014780386,-0.28766930819938075
2025-07,Droite,-1.4935064935064934,0.7000634674869922,77,2025-07-01,0.07977963631315063,-1.6498745806802686,-1.3371384063327183
2025-07,Gauche moderee,1.4,0.6039088361275576,35,2025-07-01,0.10207922446427037,1.19992472005003,1.6000752799499698
2025-07,Gauche radicale,1.6685878962536023,0.7388626004856578,347,2025-07-01,0.03966422259992709,1.5908460199577452,1.7463297725494593
2025-08,Centre / Majorite,-1.1428571428571428,0.8644378215075665,14,2025-08-01,0.23103072573218286,-1.5956773652922212,-0.6900369204220644
2025-08,Droite,-1.7272727272727273,0.4558423058385518,22,2025-08-01,0.0971859061499725,-1.9177571033266734,-1.5367883512187812
2025-08,Gauche moderee,1.1,0.9119095061289915,20,2025-08-01,0.2039091645032686,0.7003380375735937,1.4996619624264065
2025-08,Gauche radicale,1.7716535433070866,0.6323171845460678,127,2025-08-01,0.05610907697226234,1.6616797524414524,1.8816273341727208
2025-09,Centre / Majorite,-0.14285714285714285,1.0623424252901832,21,2025-09-01,0.23182212275501113,-0.5972285034569647,0.31151421774267896
2025-09,Droite,-1.2765957446808511,0.7718449849879598,47,2025-09-01,0.11258516217296131,-1.4972626625398553,-1.055928826821847
2025-09,Gauche moderee,1.0701754385964912,0.8207063404428575,57,2025-09-01,0.10870521035650044,0.8571132262977503,1.2832376508952321
2025-09,Gauche radicale,1.7142857142857142,0.7173701157986271,343,2025-09-01,0.03873434539577091,1.638366397310003,1.7902050312614253
2025-10,Centre / Majorite,-1.087719298245614,0.7856003562877877,57,2025-10-01,0.10405530916250016,-1.2916677042041145,-0.8837708922871138
2025-10,Droite,-1.1,0.5905234531480937,40,2025-10-01,0.09336995618478526,-1.2830051141221792,-0.916994885877821
2025-10,Gauche moderee,-0.1,1.1972189997378648,10,2025-10-01,0.37859388972001823,-0.8420440238512357,0.6420440238512357
2025-10,Gauche radicale,1.646153846153846,0.7231584355852616,260,2025-10-01,0.04484838231188257,1.5582510168225563,1.7340566754851359
2025-11,Centre / Majorite,-0.4,1.2649110640673518,10,2025-11-01,0.39999999999999997,-1.184,0.3839999999999999
2025-11,Droite,-1.4705882352941178,0.7174300539794393,17,2025-11-01,0.1740023465617534,-1.8116328345551544,-1.129543636033081
2025-11,Gauche moderee,0.6842105263157895,0.5823927253578187,19,2025-11-01,0.1336100544888405,0.4223348195176621,0.9460862331139168
2025-11,Gauche radicale,1.683168316831683,0.7606667216239569,101,2025-11-01,0.07568916773709461,1.5348175480669777,1.8315190855963885
2025-12,Centre / Majorite,-1.0,1.0377490433255416,14,2025-12-01,0.2773500981126146,-1.5436061923007247,-0.4563938076992754
2025-12,Droite,-1.4545454545454546,0.5222329678670935,11,2025-12-01,0.1574591643244434,-1.7631654166213637,-1.1459254924695454
2025-12,Gauche moderee,-0.26666666666666666,1.162919151265879,15,2025-12-01,0.30026443372256084,-0.855184956762886,0.3218516234295526
2025-12,Gauche radicale,1.6082474226804124,0.8962503025444377,97,2025-12-01,0.09100043076883407,1.4298865783734978,1.786608266987327
2026-01,Centre / Majorite,-0.75,1.2817398889233114,8,2026-01-01,0.4531634835874828,-1.6382004278314664,0.13820042783146635
2026-01,Droite,-2.0,0.0,4,2026-01-01,0.0,-2.0,-2.0
2026-01,Gauche moderee,-1.0,,1,2026-01-01,,,
2026-01,Gauche radicale,1.2054794520547945,1.1661773272533194,73,2026-01-01,0.13649073221584587,0.9379576169117365,1.4730012871978524
